date,spy_voltarget,momentum_hrp,momentum_ml_hrp,momentum_equal,SPY
2025-08-18,146318.16029707086,121696.19237947161,105857.88770796727,120624.83011502742,157903.6640121374
2025-08-19,145577.7530061672,121594.46267717273,105764.79081883372,120403.42264464109,157047.01270263578
2025-08-20,145218.011801695,121608.9544941586,105705.80703733995,120288.96831682933,156629.7326951422
2025-08-21,144673.08877180898,121259.66483934873,105529.96162113103,119985.48846810109,156001.35809562242
2025-08-22,146754.21054022104,122343.78301869625,106529.61351744087,121216.69270697326,158397.03625629158
2025-08-25,146199.64915316916,121773.00469466596,106281.52900242225,120815.45472927856,157699.93318494933
2025-08-26,146724.1153912206,122146.1599229007,106554.99789932616,121121.96885969679,158360.21743210097
2025-08-27,147011.62064309884,122233.46161172712,106642.71102637918,121232.15431123819,158721.04190916897
2025-08-28,147458.05364449412,122418.88911201486,106803.4194438083,121444.80888666541,159283.1426251456
2025-08-29,146717.4169607968,122126.88480684033,106551.19440146965,121040.972496248,158333.21696102782
2025-09-02,145795.24017631682,121692.32130551217,106172.51065458464,120601.75788497794,157159.923763487
2025-09-03,146533.52705449593,121936.72787567438,106308.15593066615,120857.62077759921,158011.66589642985
2025-09-04,147688.25720347505,122446.5733161247,106766.30608551078,121440.5339674253,159332.23439073315
2025-09-05,147288.43093674793,122388.5444784733,106716.18160968927,121446.29821026626,158870.7717942108
2025-09-08,147629.9904065925,122244.83303116764,106591.09259213337,121515.0349326968,159261.0513306313
2025-09-09,147952.22769263448,122388.90385343252,106716.97719929776,121608.33100648953,159629.23957253742
2025-09-10,148375.58487963618,122920.99868144552,106679.59449963243,121936.95367790648,160090.70216905975
2025-09-11,149608.61667928295,123825.9990483999,107473.93063039958,122753.3474797933,161421.0890164805
2025-09-12,149558.56741804266,123800.6459120322,107450.48444175727,122780.33650834701,161367.08807433423
2025-09-15,150354.80566504705,124231.9037882594,107821.6743219312,123226.19738970434,162226.19397211517
2025-09-16,150147.78372082592,124086.36766229986,107695.77155538443,123147.93053740967,162002.82643869214
2025-09-17,149961.2364743849,124190.48754681449,107785.70556997605,123177.69746186411,161801.55019978347
2025-09-18,150661.92613174877,124502.2679441221,107837.19704125593,123508.35620339784,162557.5633898307
2025-09-19,151406.09358235207,124797.55635074864,107882.79480928933,123827.8268593528,163360.48719832036
2025-09-22,152122.40386387773,124936.65501234091,107847.56751595659,123963.67284007737,164133.3543518577
2025-09-23,151294.3126785471,124679.57773977953,107848.70242651479,123656.09239345504,163239.88054060275
2025-09-24,150812.97041930535,124430.66207617277,107840.63314327564,123469.96923421358,162720.53350430855
2025-09-25,150117.1913241928,124087.21033882003,107745.65523409817,123098.98850908566,161969.81859402545
2025-09-26,150977.21991061058,124668.17424027716,108289.35147957501,123683.9195858863,162897.75145034256
2025-09-29,151401.53109648245,124952.25466240023,108270.01104814402,123963.16009551652,163355.56447759713
2025-09-30,151971.84183018122,125020.59253015125,108020.30759683062,123991.68663374984,163970.9045679931
2025-10-01,152489.68397637975,124806.5645983482,107718.04184073645,123879.11245100574,164529.63337007267
